,P1.V3.C,P1.V5.C,P10.V3.C,P10.V5.C,P11.V3.C,P11.V5.C,P12.V3.C,P12.V5.C,P13.V3.C,P13.V5.C,P14.V3.C,P14.V5.C,P15.V3.C,P15.V5.C,P16.V3.C,P16.V5.C,P17.V3.C,P17.V5.C,P18.V3.C,P18.V5.C,P19.V3.C,P19.V5.C,P2.V3.C,P2.V5.C,P20.V3.C,P20.V5.C,P3.V3.C,P3.V5.C,P4.V3.C,P4.V5.C,P5.V3.C,P5.V5.C,P6.V3.C,P6.V5.C,P7.V3.C,P7.V5.C,P8.V3.C,P8.V5.C,P9.V3.C,P9.V5.C,P1.V3.L,P1.V5.L,P10.V3.L,P10.V5.L,P11.V3.L,P11.V5.L,P12.V3.L,P12.V5.L,P13.V3.L,P13.V5.L,P14.V3.L,P14.V5.L,P15.V3.L,P15.V5.L,P16.V3.L,P16.V5.L,P17.V3.L,P17.V5.L,P18.V3.L,P18.V5.L,P19.V3.L,P19.V5.L,P2.V3.L,P2.V5.L,P20.V3.L,P20.V5.L,P3.V3.L,P3.V5.L,P4.V3.L,P4.V5.L,P5.V3.L,P5.V5.L,P6.V3.L,P6.V5.L,P7.V3.L,P7.V5.L,P8.V3.L,P8.V5.L,P9.V3.L,P9.V5.L,P1.V3.CL,P1.V5.CL,P10.V3.CL,P10.V5.CL,P11.V3.CL,P11.V5.CL,P12.V3.CL,P12.V5.CL,P13.V3.CL,P13.V5.CL,P14.V3.CL,P14.V5.CL,P15.V3.CL,P15.V5.CL,P16.V3.CL,P16.V5.CL,P17.V3.CL,P17.V5.CL,P18.V3.CL,P18.V5.CL,P19.V3.CL,P19.V5.CL,P2.V3.CL,P2.V5.CL,P20.V3.CL,P20.V5.CL,P3.V3.CL,P3.V5.CL,P4.V3.CL,P4.V5.CL,P5.V3.CL,P5.V5.CL,P6.V3.CL,P6.V5.CL,P7.V3.CL,P7.V5.CL,P8.V3.CL,P8.V5.CL,P9.V3.CL,P9.V5.CL,total,Taxonomy
Zotu3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,11,8,7,4,1,3899,2932,0,3,28,1,7,13,223,14,28,1618,3453,6,10,9,17047,3166,6,63,3,5,5,1,3,2,0,4,0,5,5,49,743187,Bacteria(99.99999999999996);Firmicutes(96.42857142857139);Bacilli(96.42857142857139);Staphylococcales(96.42857142857139);Staphylococcaceae(96.42857142857139);Staphylococcus(96.42857142857139);Staphylococcus caprae(49.99999999999998)
Zotu4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,10,4,6,2,6,3909,2922,0,7,15,4,4,20,218,6,38,1600,3427,6,15,11,16368,3336,6,65,8,17,3,0,2,2,0,6,0,6,7,78,730772,Bacteria(99.99999999999996);Firmicutes(96.42857142857139);Bacilli(96.42857142857139);Staphylococcales(96.42857142857139);Staphylococcaceae(96.42857142857139);Staphylococcus(96.42857142857139);Staphylococcus caprae(49.99999999999998)
Zotu5,1,1,525,0,0,25,0,1554,446,1277,4,51,31,0,3,463,0,0,0,2,2613,0,1,0,421,1649,3,545,5,2,2,3,0,0,0,16,247,195,110,27,9884,11008,21,5,14118,20016,406,1988,2673,314,0,5,6613,9963,1858,4439,11788,12410,3101,3079,3877,1901,208,473,37908,54409,13620,27154,3,0,0,34,293,1560,178,666,5399,7320,5057,17777,202,0,1,1,1482,0,3,0,0,41,0,2,94,1,1,0,12,2,1167,837,10,127,0,0,4431,6545,6,2,0,1,0,2,79,1,0,3,3,1,5,225,330815,Bacteria(99.99999999999991);Actinobacteriota(99.99999999999991);Actinomycetia(99.99999999999991);Mycobacteriales(99.99999999999991);Mycobacteriaceae(95.40372670807446);Corynebacterium(95.40372670807446);Corynebacterium tuberculostearicum(36.77018633540371)
Zotu6,0,1,493,0,0,19,1,1512,399,1306,2,46,28,0,1,429,0,0,0,0,2602,0,0,0,383,1640,1,511,9,5,0,1,2,1,1,5,239,161,126,32,9699,11073,26,9,14190,19574,307,1889,2550,304,0,4,6375,9874,1927,4156,11267,12570,2935,3145,3726,1986,237,484,36841,52695,13559,26596,3,0,0,24,279,1510,202,653,5294,7042,5069,17239,191,0,0,0,1424,1,0,1,1,32,1,1,95,0,0,2,17,4,999,873,4,119,1,0,4615,6600,2,3,0,1,1,1,96,0,0,2,0,1,8,226,323762,Bacteria(100.00000000000001);Actinobacteriota(100.00000000000001);Actinomycetia(100.00000000000001);Mycobacteriales(100.00000000000001);Mycobacteriaceae(95.40372670807454);Corynebacterium(95.40372670807454);Corynebacterium tuberculostearicum(36.770186335403714)
Zotu7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,10,1,0,0,1,0,2098,5041,0,16,1,0,4,12,0,2,463,20546,7,678,0,0,1,13,3,1,0,10,0,0,12,0,2,1,0,0,0,4,268703,Bacteria(100.0);Proteobacteria(100.0);Gammaproteobacteria(100.0);Burkholderiales(100.0);Neisseriaceae(100.0);QFNR01(88.64358974358969);QFNR01 sp016864895(88.64358974358969)
Zotu8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,12,1,0,2,4,3,1905,4897,0,13,0,0,2,8,0,2,469,19748,15,587,0,4,1,13,2,3,0,15,1,0,11,0,5,0,0,0,0,3,263566,Bacteria(100.00000000000001);Proteobacteria(100.00000000000001);Gammaproteobacteria(100.00000000000001);Burkholderiales(100.00000000000001);Neisseriaceae(100.00000000000001);QFNR01(94.46288798920371);QFNR01 sp016864895(94.46288798920371)
Zotu9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,5,0,0,1666,10934,0,0,0,6,0,24,0,11,1,2,1,2,11,17,0,6,0,4,4,3,2,0,0,2,0,8,0,4,0,5,242786,Bacteria(100.0);Proteobacteria(100.0);Gammaproteobacteria(100.0);Burkholderiales(100.0);Neisseriaceae(100.0);QFNR01(78.97186147186139);QFNR01 sp016864895(78.97186147186139)
Zotu10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,1,1,4,0,0,1665,10581,2,0,0,9,0,18,1,13,1,1,2,3,5,13,0,10,0,0,0,1,8,0,0,2,0,7,0,3,0,8,237951,Bacteria(100.0);Proteobacteria(100.0);Gammaproteobacteria(100.0);Burkholderiales(100.0);Neisseriaceae(100.0);QFNR01(83.50000000000006);QFNR01 sp016864895(83.50000000000006)
Zotu11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,2,0,5,0,1,6,803,0,12,0,0,4,23,0,6,5,5,6010,2187,0,7,1,0,6,0,0,1,3,0,0,0,8,0,1,3,0,4,215809,Bacteria(100.0);Proteobacteria(100.0);Gammaproteobacteria(100.0);Burkholderiales(100.0);Neisseriaceae(100.0);QFNR01(98.0);QFNR01 sp016864895(98.0)
Zotu12,0,0,0,0,0,1,17,0,8861,12610,3,2,1,0,0,0,0,9,0,3,22975,3,8,0,11,0,0,0,13,0,0,0,3,0,4,73,2,6,0,0,25,794,0,0,0,1,0,8,379,2546,0,0,0,0,6,1,1,0,38,10,87729,59067,0,0,0,0,2,15,0,13,0,2,0,0,558,128,2,0,5,0,8,0,1,0,0,3,0,0,4,803,0,15,0,0,0,18,0,5,1,6,5687,2236,0,3,0,2,9,0,1,1,8,0,0,0,2,0,0,4,0,2,204769,Bacteria(100.0);Proteobacteria(100.0);Gammaproteobacteria(100.0);Burkholderiales(100.0);Neisseriaceae(100.0);QFNR01(98.40476190476194);QFNR01 sp016864895(98.40476190476194)
